backend,kernel,time_ms,gflops
cublas,cuBLAS,0.2891,475599
cutedsl,epilogue_128x256x64x2,0.2970,462939
cutlass,warp_spec_128x256x64x2x3,0.2976,461931
cutlass,cluster_128x256x64x2x4x2x1,0.2989,459909
cutedsl,optimized_128x256x64x2,0.2998,458647
cutlass,optimized_128x256x64x2x3x2x1,0.3040,452313
cuda,optimized_128x256x64x2x3x2x1,0.3076,446984
cutlass,epilogue_128x256x64x2x3x2x1,0.3079,446507
cutedsl,cluster_128x256x64x3,0.3158,435364
cuda,epilogue_128x256x64x2x2x2x1,0.3223,426617
cutedsl,warp_spec_128x256x64x3,0.3240,424345
cutedsl,persistent_128x256x64x4,0.3294,417397
cutlass,persistent_128x128x64x2x3,0.3343,411274
cutlass,wgmma_tma_128x128x64x1,0.3497,393137
cutedsl,wgmma_tma_128x128x64x3,0.3627,379066
cuda,persistent_128x256x64x2x4,0.3963,346969
cuda,warp_spec_128x256x64x2x4,0.3969,346390
cuda,cluster_128x256x64x2x4x2x1,0.4094,335801
cuda,wgmma_tma_128x128x64x1,0.4301,319691
